label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
PARP6,0.325593295,0.084365221,0.583658708,6.204820301,1.725910215,-4.436183176,0.325593295,1.073836554,0.23384103
PARP8,-0.092258294,0.636446988,0.922227129,5.959694158,-0.472673079,-5.657094729,0.092258294,0.196237764,0.035162106
PARP9,0.079854558,0.683003552,0.936631724,6.147648629,0.408368598,-5.681013339,0.079854558,0.165577037,0.028431137
PARPBP,-0.176552073,0.359095763,0.834655902,5.945205805,-0.917091721,-5.389896284,0.176552073,0.444789719,0.078492531
PARS2,-0.143218292,0.465736142,0.863424079,6.026012939,-0.729435634,-5.512797892,0.143218292,0.331860059,0.063775844
PARVA,0.101493008,0.591773285,0.913584861,6.247753799,0.536269008,-5.655288306,0.101493008,0.227844645,0.039251106
PARVB,0.442834924,0.007225722,0.277157166,5.668396804,2.68628777,-2.563299366,0.442834924,2.141118747,0.557273889
PARVG,0.239646354,0.178910118,0.708097475,5.831420433,1.344123404,-5.011792011,0.239646354,0.747365099,0.149906954
PASD1,-0.013161255,0.943207223,0.991996452,5.837627677,-0.071239498,-5.805419824,0.013161255,0.025392882,0.003489881
PASK,0.25826438,0.155072674,0.693679602,5.873725212,1.421845855,-4.899079887,0.25826438,0.809464724,0.158841076
PATE1,0.128009652,0.440958059,0.851046025,5.732200592,0.770578036,-5.630162216,0.128009652,0.355602716,0.070046952
PATE2,-0.05982767,0.74442103,0.954476917,5.829593277,-0.326004878,-5.765324232,0.05982767,0.128181367,0.02023457
PATE3,0.413172075,0.016773201,0.372625664,5.818185914,2.391663363,-3.23293134,0.413172075,1.775384048,0.428727238
PATE4,0.176754561,0.246637854,0.75674444,5.632415885,1.15855806,-5.35539219,0.176754561,0.607940267,0.121050761
PATJ,0.219226267,0.062302894,0.536301515,6.867775438,1.864145131,-4.560610576,0.219226267,1.205491781,0.270590976
PATL1,-0.001396611,0.994363507,0.998211621,6.027986431,-0.007064365,-5.746332696,0.001396611,0.002454823,0.000777378
PATL2,0.289440979,0.070400948,0.555119008,5.665404297,1.80933264,-4.414709425,0.289440979,1.152421492,0.255613902
PATZ1,-0.195956185,0.31564542,0.811020707,6.021747709,-1.003449315,-5.303224984,0.195956185,0.500800507,0.090968057
PAWR,-0.138993036,0.41252232,0.843811852,6.433847097,-0.819464806,-5.575819124,0.138993036,0.384552549,0.073754379
PAX1,0.431625142,0.008708984,0.297536891,5.665557753,2.623299175,-2.719427833,0.431625142,2.0600325,0.52645918
PAX2,0.058008469,0.740589349,0.95293179,5.778476088,0.331073487,-5.805842191,0.058008469,0.130422538,0.020938184
PAX3,0.098221433,0.527239138,0.88721564,5.668800821,0.632227295,-5.780842653,0.098221433,0.277992359,0.051970811
PAX4,0.252934543,0.09559982,0.595811779,5.592828908,1.66657902,-4.686384094,0.252934543,1.019542924,0.224890915
PAX5,0.239194699,0.186820714,0.709742273,5.851423384,1.320047691,-5.028552194,0.239194699,0.728574973,0.148899327
PAX6,-0.174154209,0.342563398,0.823139925,5.841583565,-0.949114914,-5.402892388,0.174154209,0.465259042,0.084526333
PAX7,-0.025724915,0.881448785,0.978177337,5.762736998,-0.149133079,-5.860385479,0.025724915,0.054802916,0.009582403
PAX8,-0.014761951,0.932062953,0.989604898,5.766227522,-0.085249723,-5.863744041,0.014761951,0.030554754,0.004538164
PAX9,-0.020253062,0.909618077,0.983785425,5.79564838,-0.113520445,-5.833739617,0.020253062,0.041140918,0.007099616
PAXBP1,0.3429429,0.07196379,0.559570797,6.08533681,1.799357319,-4.312118294,0.3429429,1.142885973,0.252144958
PAXIP1,-0.124586421,0.517841643,0.884327732,5.925365189,-0.646677252,-5.580527624,0.124586421,0.285803028,0.053386755
PAXX,-0.134100538,0.396404164,0.842567493,6.527100897,-0.848062658,-5.615620099,0.134100538,0.401861793,0.0743953
PBDC1,-0.03119554,0.873124614,0.976328838,5.956088883,-0.159691062,-5.745621411,0.03119554,0.058923768,0.010403883
PBK,0.088272447,0.645298609,0.925671944,5.91772916,0.46030394,-5.677925522,0.088272447,0.190239271,0.033542899
PBLD,-0.005952476,0.975559123,0.994163005,5.937921728,-0.030636929,-5.761603951,0.005952476,0.010746405,0.002542402
PBOV1,0.208044756,0.236309921,0.754478781,5.792525657,1.184264407,-5.209157422,0.208044756,0.626518045,0.12235297
PBRM1,-0.062391407,0.748032811,0.955654169,5.938636294,-0.321234814,-5.715742052,0.062391407,0.126079352,0.019699241
PBX1,-0.203374777,0.078731176,0.578452351,6.881166125,-1.758105627,-4.75944232,0.203374777,1.10385326,0.23773241
PBX2,0.02692871,0.874427154,0.976328838,6.427388957,0.158037837,-5.870419379,0.02692871,0.058276364,0.010403883
PBX3,0.074338282,0.64413294,0.925451518,5.70635769,0.461928769,-5.835591651,0.074338282,0.191024491,0.033646328
PBX4,0.301906366,0.060070664,0.532734945,5.672602272,1.880286008,-4.290073698,0.301906366,1.221337566,0.273488814
PBXIP1,-0.106560841,0.509330467,0.883527471,6.499088286,-0.659881848,-5.729066575,0.106560841,0.293000344,0.053779943
PC,0.216658164,0.166043312,0.702848094,5.650389174,1.385035353,-5.064672447,0.216658164,0.779778613,0.153138528
